Subject,Confidence,Q,Deviation,Conf_Rat,BDev,Mem
59a1de0cec2f75000124eeaf,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5dd3e852b988873c617cd21a,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5e975ea254955d0bfe9f7929,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5dcf402982569a08ddd84086,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5dcf7b49523df00ae9c4e07e,3,expectation_deviation_belief1,-1,Med,0.375035271,Bel
5ed17af75957f60d040e3f34,5,expectation_deviation_belief1,-1,High,0.375035271,Bel
5edd13e3858a15a07241964b,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
578673a9275be6000135880e,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5ecc6fb87c7c7646490f3cf8,3,expectation_deviation_belief1,0,Med,0.5,Bel
58effc65c31d4d00015aa5b9,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5e416e22fb96eb000b3fe2a8,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5c43349027bb0d0001282427,2,expectation_deviation_belief1,-1,Low,0.375035271,Bel
5c2cdb4e213a1a0001b9c475,3,expectation_deviation_belief1,0,Med,0.5,Bel
5eb2d579ed24d507082b07a2,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5dc1cd625fd2031344dfe43d,2,expectation_deviation_belief1,0,Low,0.5,Bel
5b97f8988ae8150001c7a887,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5c5fc78e96dff400013607a5,4,expectation_deviation_belief1,0,High,0.5,Bel
5c804f4092ad770015846011,3,expectation_deviation_belief1,-2,Med,0.250070542,Bel
5d2e56ae72b6780001c66698,2,expectation_deviation_belief1,0,Low,0.5,Bel
5d82d28977546f00166ae702,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5a9262251eda410001360b2c,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5ea492e3b1b3620a6fee3b90,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
59e833e72f63d30001c8fb86,4,expectation_deviation_belief1,3,High,0.874894187,Bel
5c71b63c4aa8ec0001f2bfc4,3,expectation_deviation_belief1,0,Med,0.5,Bel
5dc4175e3317732e53467e8b,3,expectation_deviation_belief1,-1,Med,0.375035271,Bel
59658491b9153e0001617465,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5c9ebf067114700016da2813,3,expectation_deviation_belief1,0,Med,0.5,Bel
5eca8de81197051fa92b5a6a,4,expectation_deviation_belief1,3,High,0.874894187,Bel
57b60487e5b60d0001083aea,2,expectation_deviation_belief1,-1,Low,0.375035271,Bel
5d1beb9c9e033e0017a725dc,3,expectation_deviation_belief1,0,Med,0.5,Bel
5dee72917309b950e5262f3a,5,expectation_deviation_belief1,0,High,0.5,Bel
56d0f57421cd29000a9737e4,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ec75df0d799ae1c11a8115c,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5e65c211b45c6432d8227e4c,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5c6a3c721519ac0001668582,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5dc1eb838a84461511b3cd73,3,expectation_deviation_belief1,0,Med,0.5,Bel
5cd062370081a60017789079,4,expectation_deviation_belief1,4,High,0.999858916,Bel
5dc8d8b90a0b38630af7a0ba,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5d6ef023cfe0a400198f911e,5,expectation_deviation_belief1,0,High,0.5,Bel
5beb8419aec9ef0001e9d5fb,3,expectation_deviation_belief1,0,Med,0.5,Bel
5ea8fe56a6d1a135a5a442cd,4,expectation_deviation_belief1,3,High,0.874894187,Bel
5c9a7872e2a8d00001585513,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5c05ff644c14cf00019db0a9,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5d847ac9be4b0b00188463d7,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5eb33612d573b51326905f30,3,expectation_deviation_belief1,0,Med,0.5,Bel
5c90094e71f3100016181ea9,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5e82cbf3469f74a0b6d0fd29,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5d0d16d991270800010b7dd7,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5daa18ed95be5f00133609e8,4,expectation_deviation_belief1,0,High,0.5,Bel
5e6027f12036113753519c82,4,expectation_deviation_belief1,0,High,0.5,Bel
5b619b6c5256470001bcf992,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5e35d4a59d323458753819d2,4,expectation_deviation_belief1,0,High,0.5,Bel
595b93be7882150001240e21,4,expectation_deviation_belief1,4,High,0.999858916,Bel
5e37b3d7abde98738c0f1e7c,3,expectation_deviation_belief1,0,Med,0.5,Bel
5e29ada5d441690127fb5748,3,expectation_deviation_belief1,-2,Med,0.250070542,Bel
5e84b8443f064006f1b5215c,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5dcca657854936945d68eaa9,3,expectation_deviation_belief1,4,Med,0.999858916,Bel
5cd321750316ed0017c81bcd,3,expectation_deviation_belief1,0,Med,0.5,Bel
5b4d39f2d4c93b00019c8217,3,expectation_deviation_belief1,0,Med,0.5,Bel
55b9a9b0fdf99b6906d2aba4,4,expectation_deviation_belief1,0,High,0.5,Bel
5edeb3b209233c154f4d552a,3,expectation_deviation_belief1,0,Med,0.5,Bel
5d9f8573ce3daf0015e3e400,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5de1986c040f531f97eb6092,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5490c822fdf99b71ba910e1a,1,expectation_deviation_belief1,2,Low,0.749929458,Bel
5831f08ebfb3b400015a6ad4,3,expectation_deviation_belief1,0,Med,0.5,Bel
5e6690ca0ef3a301da87b4d9,4,expectation_deviation_belief1,0,High,0.5,Bel
5e9b621702bbdc069b2496c4,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5e6989bc651f7d241449fccf,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5ea997837d28170bc5125c56,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5d378df21acda30001e7191e,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5cc1e9161758c700138de977,3,expectation_deviation_belief1,0,Med,0.5,Bel
5c82a8cdfff8430015e9942f,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5c925b0fb138fe0014e4036b,4,expectation_deviation_belief1,0,High,0.5,Bel
5e5ab88a43f33029b119a48c,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5e19c8d1477f3b24e0ac5efa,4,expectation_deviation_belief1,-1,High,0.375035271,Bel
5a212dcc7b108200011e040c,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5c27f83289f035000174a168,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ed081544e61f3163c036286,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5d6d6412f570e000184cf48b,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5bddf0f876219d00014b145e,4,expectation_deviation_belief1,-2,High,0.250070542,Bel
5dacf17a6f11e500163e3bc4,2,expectation_deviation_belief1,0,Low,0.5,Bel
5e4af9e73485dd000c99724e,5,expectation_deviation_belief1,4,High,0.999858916,Bel
5bcb229aa8920a00013060fa,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5b15307351caaf0001228d9b,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5cb9bc10e50fe5001746c43b,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5a0d9553fe645f0001e9f852,3,expectation_deviation_belief1,-1,Med,0.375035271,Bel
5c03217b1a20110001e979f0,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ec12ad1759b78000a4f9965,5,expectation_deviation_belief1,1,High,0.624964729,Bel
5e552a5e45774651f60e62b3,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5dc1c27fb3e5c212018d9e33,4,expectation_deviation_belief1,0,High,0.5,Bel
5ec2f967fa87231315e8b60c,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5e5b0bcc7a584430eb8bea65,4,expectation_deviation_belief1,0,High,0.5,Bel
5c971acab18d000001e1afd7,1,expectation_deviation_belief1,2,Low,0.749929458,Bel
5e815773285d3883ba2fbbcf,3,expectation_deviation_belief1,0,Med,0.5,Bel
5eb1bc2b9d57e52f90d13214,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5b5c8d4e10aec90001ed4bee,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5d63179aa3b94d0001da4bb6,3,expectation_deviation_belief1,0,Med,0.5,Bel
5c742339e621f900163f4543,4,expectation_deviation_belief1,2,High,0.749929458,Bel
59dc458f77860e000151240e,4,expectation_deviation_belief1,0,High,0.5,Bel
5b76ce43bfc4cb0001f2c4c3,4,expectation_deviation_belief1,-1,High,0.375035271,Bel
5e80d8569d1bdf03449b0c2e,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5e175705cfe8dc000b559793,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5ddae85b393bd3a44d7cbaaa,4,expectation_deviation_belief1,3,High,0.874894187,Bel
5e1797da928b15062260e30e,4,expectation_deviation_belief1,1,High,0.624964729,Bel
55ddb84550a1f7000b90d65a,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5e27868c5cbbcc0b3599574b,1,expectation_deviation_belief1,0,Low,0.5,Bel
5c871f91e769f8000178afc8,1,expectation_deviation_belief1,0,Low,0.5,Bel
5d461284d9b0690001720f6d,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5e83abb4e0a2e40fd565226d,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5c28113978fad50001932f58,4,expectation_deviation_belief1,-2,High,0.250070542,Bel
5e78bf026d9a62443b9d5b74,4,expectation_deviation_belief1,3,High,0.874894187,Bel
5dba287f9653e80734e335d7,4,expectation_deviation_belief1,3,High,0.874894187,Bel
58f10189738cac000116d3ab,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5ee3c01c7247c006e9a3f4fd,4,expectation_deviation_belief1,2,High,0.749929458,Bel
59f226a9d6380600018b2923,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5a6f1ccade1f390001dbd8b7,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5e7daa886c123242e86c8138,4,expectation_deviation_belief1,0,High,0.5,Bel
5ee64e85c682de3a880579c6,5,expectation_deviation_belief1,1,High,0.624964729,Bel
A1PAY3X73PQ16S,4,expectation_deviation_belief1,4,High,0.999858916,Bel
5c92870723bd7e001870138e,3,expectation_deviation_belief1,0,Med,0.5,Bel
5d30a193b2cfe00017231a93,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5d4c7ac3e8ec490018b0050d,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5e84253b26729e1847f16611,2,expectation_deviation_belief1,-1,Low,0.375035271,Bel
5c70852d7826350001565ce4,3,expectation_deviation_belief1,0,Med,0.5,Bel
5c40e7d99d27f00001159a65,1,expectation_deviation_belief1,0,Low,0.5,Bel
5ab84333f69e940001d8f0af,2,expectation_deviation_belief1,0,Low,0.5,Bel
5de82c263aa2777a36b996b2,4,expectation_deviation_belief1,0,High,0.5,Bel
5dd5db1ded7ea4574c7bc996,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5d8c46cc53b833001a4bf916,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5e606b1eaf84e83c728748d7,3,expectation_deviation_belief1,0,Med,0.5,Bel
5ec46d59c1c5e016fafe11d6,2,expectation_deviation_belief1,-1,Low,0.375035271,Bel
5ea90a840928983752c88275,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5e6ef5fbf14d264ae2ef3867,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5bd9f569eb22f2000183df4e,4,expectation_deviation_belief1,3,High,0.874894187,Bel
5ee6706034f12e3d82d952aa,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ec6c96f5b660e0f25ea094c,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5e9f55237c0db50bb0a02621,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5ddc516e82a527bc2397e6e1,3,expectation_deviation_belief1,0,Med,0.5,Bel
59c0782e5364260001dc4740,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5edaf0abba14031b7899eb3f,4,expectation_deviation_belief1,0,High,0.5,Bel
5e69987e0873d600084bc920,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5ed0091bd374190b9b04045d,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ea9cc7058ebeb11a12e659c,2,expectation_deviation_belief1,0,Low,0.5,Bel
5761c23632676f0007eb36b3,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5e41d817cfafb807ef94486a,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5c82656bed1753001581fd1e,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ec5a64c306f255ec98d5cc1,4,expectation_deviation_belief1,0,High,0.5,Bel
5ebe057674d69c15b1642055,3,expectation_deviation_belief1,0,Med,0.5,Bel
57d6dd8d6598aa000199188b,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
597fe89a1b41a20001749f57,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5eea5252da0cfc115e24e69b,4,expectation_deviation_belief1,-1,High,0.375035271,Bel
5ee3a34e16ad19048aef74f6,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
56fdff4ee0f9ff000f19c466,5,expectation_deviation_belief1,2,High,0.749929458,Bel
 5ad4a9f30f5d3900016a4d8b ,2,expectation_deviation_belief1,3,Low,0.874894187,Bel
5ec81134ac7d6b2b9ac51453,4,expectation_deviation_belief1,0,High,0.5,Bel
5edfb0770fb0722aa3839b6d,3,expectation_deviation_belief1,0,Med,0.5,Bel
5b32c0ff975e260001e97d0e,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5ee232f2b970662cfa352567,3,expectation_deviation_belief1,0,Med,0.5,Bel
5eb52896e034073a7b8aa981,3,expectation_deviation_belief1,-2,Med,0.250070542,Bel
5cf21b7b2456d90001ee8e40,3,expectation_deviation_belief1,0,Med,0.5,Bel
5eb02a40b17a8c0868685d32,5,expectation_deviation_belief1,3,High,0.874894187,Bel
5953d01e4d560700016462da,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5c6a36214fbf270001311702,2,expectation_deviation_belief1,4,Low,0.999858916,Bel
5ed062703c9248144a334cb4,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5e065bba5a342503b3f3e0bc,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5eaa6339b2e5311e8e020396,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5ede8a971588b310e81f852f,2,expectation_deviation_belief1,0,Low,0.5,Bel
5e2039ccf0b71e34ef9c60a2,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5e8be450affef10d24343a7f,2,expectation_deviation_belief1,0,Low,0.5,Bel
5a04869ff2e3460001edad2e,3,expectation_deviation_belief1,0,Med,0.5,Bel
5d4a41890e604c00011ade8b,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5d344bd3b0f315001a122275,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5df162b6c76aa6080c4c7694,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
546f8a9cfdf99b4a593414ea,4,expectation_deviation_belief1,0,High,0.5,Bel
5dc47ddd034b45342d3b2e3a,3,expectation_deviation_belief1,0,Med,0.5,Bel
5a21b2e1e473b80001baaa09,3,expectation_deviation_belief1,0,Med,0.5,Bel
5c2d187569ceff00011417de,2,expectation_deviation_belief1,1,Low,0.624964729,Bel
5687d85e369319000c269c55,4,expectation_deviation_belief1,0,High,0.5,Bel
5e1f938b06121f2be0d1ead4,5,expectation_deviation_belief1,0,High,0.5,Bel
5eac6f1aa8b3bb0dcfebeba9,3,expectation_deviation_belief1,0,Med,0.5,Bel
5eb635754bbde6534e62c05e,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5d7b2e78698dea001853b5ec,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5bfd81fb2feab400014d9060,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5dd1964987c1fd2082c4d88e,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5d7af4ee784e52001b9b02da,3,expectation_deviation_belief1,0,Med,0.5,Bel
5e820eb36551aa02fd72e1dc,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5de01c13c3a15e0a03332169,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5ea5d2b8d2bc3308f7af06d5,5,expectation_deviation_belief1,3,High,0.874894187,Bel
59c6305e6a287600011c388d,4,expectation_deviation_belief1,0,High,0.5,Bel
57a761c22fc0d400012c9656,4,expectation_deviation_belief1,4,High,0.999858916,Bel
5d83d2f1ae7a8b00017ec6a9,3,expectation_deviation_belief1,0,Med,0.5,Bel
56e130548b1c33000a388671,4,expectation_deviation_belief1,0,High,0.5,Bel
5c0f1cf4f3027300014b606f,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5c92cda483617d0010bef1b8,4,expectation_deviation_belief1,0,High,0.5,Bel
5d558ebe886e3f0020e90fce,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5e83d36b6d7daf107aea7a7c,3,expectation_deviation_belief1,0,Med,0.5,Bel
5efba90ef81cbe13a3d7df40,3,expectation_deviation_belief1,0,Med,0.5,Bel
5ec5880e02a64c5b4102561f,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5588d358fdf99b304ee5674f,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5d5c265773125e001af7f4cf,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5ad9cc7ddfcfcb0001e667f3,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5eca36ad460a2b19ab37697b,1,expectation_deviation_belief1,0,Low,0.5,Bel
5e9ca054511e7a1c5c5640e5,2,expectation_deviation_belief1,0,Low,0.5,Bel
5e911cfaefd95445d5a6c890,3,expectation_deviation_belief1,0,Med,0.5,Bel
5bf5ab78f35e0c000101b657,3,expectation_deviation_belief1,0,Med,0.5,Bel
5800e50de3536e00012840f4,5,expectation_deviation_belief1,0,High,0.5,Bel
5e649034feba20212bb729db,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5b16ceb0bdf4e10001630f58,3,expectation_deviation_belief1,0,Med,0.5,Bel
5e1882adfd7db4158998b5f0,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5b954f10754b700001f06bf0,3,expectation_deviation_belief1,0,Med,0.5,Bel
57bb6878eb28030001f7ea94,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5ef165863c30cb15b9c83613,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5e4a1730c94447480594cea4,3,expectation_deviation_belief1,0,Med,0.5,Bel
5de7f5d27c17f804d007da90,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5e2861fb5c6297029148b635,1,expectation_deviation_belief1,0,Low,0.5,Bel
5d93c9c410165c0015326102,3,expectation_deviation_belief1,-1,Med,0.375035271,Bel
5c47d714a8703f0001b6e780,4,expectation_deviation_belief1,0,High,0.5,Bel
5d0e9d1bf403080016411381,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5e0e66730db8925a55fffbd5,3,expectation_deviation_belief1,0,Med,0.5,Bel
5e2e9c7388448746ab366b7f,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5d6394518df2870001a74b42,2,expectation_deviation_belief1,3,Low,0.874894187,Bel
5eaf02446c144d5e3a4d4562,2,expectation_deviation_belief1,2,Low,0.749929458,Bel
5a8891155292b800012316a8,1,expectation_deviation_belief1,0,Low,0.5,Bel
5eddaaaeb2a4d6ab5be32a02,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
5e8421d0df483e18852ff25e,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5b4d31673d01bd0001ec447e,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5eab89102e910016bb0b5414,1,expectation_deviation_belief1,0,Low,0.5,Bel
5c003b5c2c8cc1000138e25f,2,expectation_deviation_belief1,3,Low,0.874894187,Bel
5eb960c022781303ab1ca871,5,expectation_deviation_belief1,1,High,0.624964729,Bel
55f63fc432af740012171ef6,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
58066bf52d948b00014ba876,4,expectation_deviation_belief1,-1,High,0.375035271,Bel
5e9732d6bafec41daaf8fc30,3,expectation_deviation_belief1,0,Med,0.5,Bel
5cdcd4ca9f75db0001411660,3,expectation_deviation_belief1,3,Med,0.874894187,Bel
5c1c137b0739430001693cf5,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
550bb70bfdf99b6853dab45e,4,expectation_deviation_belief1,1,High,0.624964729,Bel
5decaac46e09cf3792805023,4,expectation_deviation_belief1,3,High,0.874894187,Bel
5c454961f5e3bc00014ed20b,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5dce29700ad506063969a4a5,4,expectation_deviation_belief1,2,High,0.749929458,Bel
5ee1327109ae2e4f8e01bd60,4,expectation_deviation_belief1,2,High,0.749929458,Bel
576017836442fa0006cfb7cd,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5ec19dd52abb6a5ce5b9fe05,4,expectation_deviation_belief1,0,High,0.5,Bel
5d8927d21571f4001c8ce125,1,expectation_deviation_belief1,-1,Low,0.375035271,Bel
5dde8fba82f458000c8c7c75,5,expectation_deviation_belief1,2,High,0.749929458,Bel
5dec1c522911273179e44dbe,3,expectation_deviation_belief1,-1,Med,0.375035271,Bel
5ed57ec8141d24118731f1bc,2,expectation_deviation_belief1,-2,Low,0.250070542,Bel
59ad6f1e09709e00013c2ba5,5,expectation_deviation_belief1,1,High,0.624964729,Bel
5d5eeb06d8bcde00162d73f1,3,expectation_deviation_belief1,2,Med,0.749929458,Bel
5ee644b8a00c6d0621d20793,3,expectation_deviation_belief1,1,Med,0.624964729,Bel
