Header,Item,Subscale,reverse score,Response type
COVID_11_oth_firstresp,Are any of your close friends or family members currently serving as a first responder?,,,Yes/No
COVID_12_communityChange_1month,"In 1 month from now, I think the situation in my community will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_13_communityChange_2months,"In 2 months from now, I think the situation in my community will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_14_communityChange_6months,"In 6 months from now, I think the situation in my community will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_15_communityChange_12months,"In 12 months from now, I think the situation in my community will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_16_countryChange_1month,"In 1 month from now, I think the situation in my country will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_17_countryChange_2months,"In 2 months from now, I think the situation in my country will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_18_countryChange_6months,"In 6 months from now, I think the situation in my country will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_19_countryChange_12months,"In 12 months from now, I think the situation in my country will be…",,,much better than right now 1; 2; about the same as right now 3; 4; much worse than right now 5
COVID_20_stress_lifechanges_1,How much stress are you experiencing right now as a result of...decreased in-person visits to close friends and family?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_21_stress_lifechanges_2,"How much stress are you experiencing right now as a result of...decreased virtual contact with close friends or family (e.g., phone calls, texts, video chats, etc.)?",,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_22_stress_lifechanges_3,How much stress are you experiencing right now as a result of...increased tension with people in your household?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_23_stress_lifechanges_4,How much stress are you experiencing right now as a result of...increased tension with others outside of your household?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_24_stress_lifechanges_5,How much stress are you experiencing right now as a result of...a loss of employment?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_25_stress_lifechanges_6,How much stress are you experiencing right now as a result of...problems obtaining grocery items?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_26_stress_lifechanges_7,"How much stress are you experiencing right now as a result of...problems paying for bills (e.g., housing, food, medical bills)?",,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_27_stress_lifechanges_8,.How much stress are you experiencing right now as a result of…problems accessing healthcare?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_28_stress_lifechanges_9,How much stress are you experiencing right now as a result of...problems receiving your usual paycheck?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_29_stress_lifechanges_10,How much stress are you experiencing right now as a result of...difficulties combining childcare with work?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_30_stress_lifechanges_11,How much stress are you experiencing right now as a result of...obstacles that make work more difficult?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_31_stress_lifechanges_12,How much stress are you experiencing right now as a result of...an increased work load?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_32_stress_lifechanges_13,How much stress are you experiencing right now as a result of...working from home?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_33_stress_lifechanges_14,How much stress are you experiencing right now as a result of...decreased physical exercise?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_34_stress_lifechanges_15,How much stress are you experiencing right now as a result of...decreased participation in your usual leisure activities?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_35_stress_lifechanges_16,How much stress are you experiencing right now as a result of...a decrease in new fun activities?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_36_stress_lifechanges_17,How much stress are you experiencing right now as a result of...boredom?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_37_stress_beliefs_1,How much stress are you experiencing right now because you believe that… the government is not taking appropriate action to combat issues surrounding COVID-19?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_38_stress_beliefs_2,How much stress are you experiencing right now because you believe that...criminality rates have increased?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_39_stress_beliefs_3,How much stress are you experiencing right now because you believe that...there is currently an economic crisis?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_40_stress_beliefs_4,"How much stress are you experiencing right now because you believe that…other people are not following public health guidelines to prevent the spread of COVID-19 (e.g., washing hands, social distancing, etc.)?",,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_41_stress_beliefs_5,How much stress are you experiencing right now because you believe that...life as we know it is not the same?,,,No stress at all 1; 2; Some stress 3; 4; A great deal of stress 5; N/A
COVID_42_worryfuture_experien_1,How worried are you that in the future you will experience… decreased in-person visits to close friends or family?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_43_worryfuture_experien_2,"How worried are you that in the future you will experience…...decreased virtual contact with close friends or family (e.g., phone calls, texts, video chats, etc.)?",,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_44_worryfuture_experien_3,How worried are you that in the future you will experience…...increased tension with people in your household?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_45_worryfuture_experien_4,How worried are you that in the future you will experience…...increased tension with others outside of your household?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_46_worryfuture_experien_5,How worried are you that in the future you will experience…...a loss of employment?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_47_worryfuture_experien_6,How worried are you that in the future you will experience…...problems obtaining grocery items?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_48_worryfuture_experien_7,"How worried are you that in the future you will experience…...problems paying for bills (e.g., housing, food, medical bills)?",,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_49_worryfuture_experien_8,How worried are you that in the future you will experience…...problems accessing healthcare?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_50_worryfuture_experien_9,How worried are you that in the future you will experience…...problems receiving your usual paycheck?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_51_worryfuture_experien_10,How worried are you that in the future you will experience…...difficulties combining childcare with work?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_52_worryfuture_experien_11,How worried are you that in the future you will experience…...obstacles that make work more difficult?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_53_worryfuture_experien_12,How worried are you that in the future you will experience…...an increased work load?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_54_worryfuture_experien_13,How worried are you that in the future you will experience…...working from home?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_55_worryfuture_experien_14,How worried are you that in the future you will experience…...decreased physical exercise?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_56_worryfuture_experien_15,How worried are you that in the future you will experience…...decreased participation in your usual leisure activities?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_57_worryfuture_experien_16,How worried are you that in the future you will experience…...a decrease in new fun activities?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_58_worryfuture_experien_17,How worried are you that in the future you will experience…...boredom?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_59_worryfuture_society_1,How worried are you that in the future… the government will not take appropriate action to combat issues surrounding COVID-19?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_60_worryfuture_society_2,How worried are you that in the future...criminality rates will increase?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_61_worryfuture_society_3,How worried are you that in the future...there will be an economic crisis?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_62_worryfuture_society_4,"How worried are you that in the future…other people will not follow public health guidelines to prevent the spread of COVID-19 (e.g., washing hands, social distancing, etc.)?",,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_63_worryfuture_society_5,How worried are you that in the future...life as we knew will never be the same?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_64_changesCOVID_1,"Compared to how you were before the COVID-19 pandemic, how often do you feel… that you lack companionship?",,,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_65_changesCOVID_2,"Compared to how you were before the COVID-19 pandemic, how often do you feel...that there is no one you can turn to?",,,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_66_changesCOVID_3,"Compared to how you were before the COVID-19 pandemic, how often do you feel...alone?",,,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_67_changesCOVID_4_r,"Compared to how you were before the COVID-19 pandemic, how often do you feel...close to people?",,r,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_68_changesCOVID_5,"Compared to how you were before the COVID-19 pandemic, how often do you feel...isolated from others?",,,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_69_changesCOVID_6_r,"Compared to how you were before the COVID-19 pandemic, how often do you feel...you can find companionship when you want it?",,r,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_70_changesCOVID_7_r,"Compared to how you were before the COVID-19 pandemic, how often do you feel...that there are people you can talk to?",,r,Much less than usual 1; 2; About the same as usual 3; 4; Much more than usual 5
COVID_71_newsCOVID,"About how much time each day do you spend consuming (i.e., watching, reading, listening to) news or other forms of media (e.g., Twitter, Youtube, newspapers, etc.) regarding COVID-19?",,,Less than 30 minutes; 30 minutes - 1 hour; 1-2 hours; 2-4 hours; 4+ hours
COVID_72_commCOVID,About how much time each day do you spend communicating with others about COVID-19?,,,Less than 30 minutes; 30 minutes - 1 hour; 1-2 hours; 2-4 hours; 4+ hours
COVID_73_avoidNews,Do you try to avoid news about the COVID-19 outbreak?,,,Not at all 1; 2; Sometimes 3; 4; As much as possible 5
COVID_74_changeBehav_1,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following... I wash my hands",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_75_changeBehav_2_r,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I touch my face",,r,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_76_changeBehav_3,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I restrict my visits to at-risk individuals",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_77_changeBehav_4,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following…I restrict my visits to non-at-risk individuals",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_78_changeBehav_5,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following…I keep at a 6-feet distance",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_79_changeBehav_6,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following…I experience feelings of stress and anxiety",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_80_changeBehav_7,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following…I have problems concentrating",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_81_changeBehav_8,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I have problems sleeping (e.g., waking up often, not sleeping enough, etc.)",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_82_changeBehav_9,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I experience gastrointestinal discomfort (e.g., stomach pain, diarrhea, constipation, etc.)…",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_83_changeBehav_10,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I eat unhealthy snacks",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_84_changeBehav_11,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I drink alcohol",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_85_changeBehav_12,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I smoke cigarettes",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_86_changeBehav_13_r,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I go grocery shopping",,r,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_87_changeBehav_14,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I buy additional quantities of certain grocery items (e.g., multiple loaves of bread, several rolls of toilet paper)",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_88_changeBehav_15,"Compared to your usual life before the start of the COVID-19 pandemic, how often do you experience or take part in the following...I buy foods that you can store for a long time (e.g., canned goods, dried foods, non-perishables, etc.)",,,much less than usual 1; 2; about the same as usual 3; 4; much more than usual 5; N/A
COVID_89_counsel_mental,Have you ever sought counseling or treatment for mental health difficulties?,,,Yes/No
COVID_90_diag_mental,Have you ever been diagnosed with a mental health condition?,,,Yes/No
COVID_91_counsel_stress,Have you ever sought counseling or treatment for stress or anxiety?,,,Yes/No
COVID_92_diag_anx,Have you ever been diagnosed with an anxiety or stress-related mental health condition?,,,Yes/No
DASS21_1_Stress,I found it hard to wind down,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_2_Anxiety,I was aware of dryness of my mouth,Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_3_Depression,I couldn't seem to experience any positive feeling at all,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_4_Anxiety,"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)",Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_5_Depression,I found it difficult to work up the initiative to do things,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_6_Stress,I tended to over-react to situations,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_7_Anxiety,"I experienced trembling (e.g., in the hands)",Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_8_Stress,I felt that I was using a lot of nervous energy,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_9_Anxiety,I was worried about situations in which I might panic and make a fool of myself,Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_10_Depression,I felt that I had nothing to look forward to,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_11_Stress,I found myself getting agitated,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_12_Stress,I found it difficult to relax,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_13_Depression,I felt down-hearted and blue,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_14_Stress,I was intolerant of anything that kept me from getting on with what I was doing,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_15_Anxiety,I felt I was close to panic,Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_16_Depression,I was unable to become enthusiastic about anything,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_17_Depression,I felt I wasn't worth much as a person,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_18_Stress,I felt that I was rather touchy,Stress,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_19_Anxiety,"I was aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_20_Anxiety,I felt scared without any good reason,Anxiety,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
DASS21_21_Depression,I felt that life was meaningless,Depression,,"Did not apply to me at all; Applied to me to some degree, or some of the time; Applied to me to a considerable degree, or a good part of time; Applied to me very much, or most of the time
"
IUS_1_Factor1,Uncertainty stops me from having a firm opinion,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_2_Factor1,Being uncertain means that a person is disorganized,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_3_Factor1,Uncertainty makes life intolerable,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_4_Factor2,It’s unfair not having any guarantees in life,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_5_Factor2,My mind can’t be relaxed if I don’t know what will happen tomorrow,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_6_Factor2,"Uncertainty makes me uneasy, anxious, or stressed",Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_7_Factor2,Unforeseen events upset me greatly,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_8_Factor2,It frustrates me not having all the information I need,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_9_Factor1,Uncertainty keeps me from living a full life,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_10_Factor2,One should always look ahead so as to avoid surprises,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_11_Factor2,"A small unforeseen event can spoil everything, even with the best of planning",Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_12_Factor1,"When it’s time to act, uncertainty paralyses me",Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_13_Factor1,Being uncertain means that I am not first rate,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_14_Factor1,"When I am uncertain, I can’t go forward",Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_15_Factor1,When I am uncertain I can’t function very well,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_16_Factor1,"Unlike me, others always seem to know where they are going with their lives",Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_17_Factor1,"Uncertainty makes me vulnerable, unhappy, or sad",Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_18_Factor2,I always want to know what the future has in store for me,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_19_Factor2,I can’t stand being taken by surprise,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_20_Factor1,The smallest doubt can stop me from acting,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_21_Factor2,I should be able to organize everything in advance,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_22_Factor1,Being uncertain means that I lack confidence,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_23_Factor1,I think it’s unfair that other people seem sure about their future,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_24_Factor1,Uncertainty keeps me from sleeping soundly,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_25_Factor1,I must get away from all uncertain situations,Factor 1: Uncertainty has negative behavioral and self-referent implications,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_26_Factor2,The ambiguities in life stress me,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
IUS_27_Factor2,I can’t stand being undecided about my future,Factor 2: Uncertainty is unfair and spoils everything,,Not at all characteristic of me 1; 2; Somewhat characteristic of me 3; 4; Entirely characteristic of me 5
NEO_1_extraversion,Am the life of the party.,extraversion,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_2_agreeableness__r,Feel little concern for others.,agreeableness,_r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_3_conscientiousness,Am always prepared.,conscientiousness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_4_emotionalStability_r,Get stressed out easily.,emotionalStability,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_5_intellectImagination,Have a rich vocabulary.,intellectImagination,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_6_extraversion_r,Don't talk a lot.,extraversion,r,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
NEO_7_agreeableness,Am interested in people.,agreeableness,,VeryInaccurate; ModeratelyInaccurate; NeitherAccurateNorInaccurate; ModeratelyAccurate; VeryAccurate
